,가수,노래
[1]위,방탄소년단,Butter
[2]위,오마이걸 (OH MY GIRL),Dun Dun Dance
[3]위,헤이즈 (Heize),헤픈 우연
[4]위,Justin Bieber,Peaches (Feat. Daniel Caesar & Giveon)
[5]위,브레이브걸스,롤린 (Rollin')
[6]위,aespa,Next Level
[7]위,아이유,라일락
[8]위,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)",상상더하기
[9]위,브레이브걸스,운전만해 (We Ride)
[10]위,아이유,Celebrity
[11]위,방탄소년단,Dynamite
[12]위,SG 워너비,Timeless
[13]위,STAYC(스테이씨),ASAP
[14]위,라붐 (LABOUM),상상더하기
[15]위,ITZY (있지),마.피.아. In the morning
[16]위,SG 워너비,라라라
[17]위,아이유,내 손을 잡아
[18]위,ASH ISLAND,멜로디
[19]위,송이한,밝게 빛나는 별이 되어 비춰줄게
[20]위,호미들,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)"
[21]위,SG 워너비,내사람
[22]위,"정상동기 (김정수, 정기석, 이동휘, 이상이)",체념
[23]위,양요섭,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)"
[24]위,아이유,Coin
[25]위,경서,밤하늘의 별을(2020)
[26]위,로제 (ROSÉ),On The Ground
[27]위,Jawsh 685,Savage Love (Laxed - Siren Beat) (BTS Remix)
[28]위,장범준,잠이 오질 않네요
[29]위,BLACKPINK,Lovesick Girls
[30]위,산들,취기를 빌려 (취향저격 그녀 X 산들)
[31]위,아이유,Blueming
[32]위,아이유,어푸 (Ah puh)
[33]위,아이유,에잇(Prod.&Feat. SUGA of BTS)
[34]위,"M.O.M (별루지, 강창모, 박재정, 원슈타인)",만약에
[35]위,다비치,그냥 안아달란 말야
[36]위,방탄소년단,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)
[37]위,미란이 (Mirani),VVS (Feat. JUSTHIS) (Prod. GroovyRoom)
[38]위,적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재)
[39]위,Etham,12:45 (Stripped)
[40]위,방탄소년단,Life Goes On
[41]위,오마이걸 (OH MY GIRL),Dolphin
[42]위,AKMU (악동뮤지션),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
[43]위,방탄소년단,봄날
[44]위,이예준,그날에 나는 맘이 편했을까
[45]위,정동하,추억은 만남보다 이별에 남아
[46]위,장범준,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야
[47]위,SG 워너비,살다가
[48]위,스탠딩 에그,오래된 노래
[49]위,폴킴,"모든 날, 모든 순간 (Every day, Every Moment)"
[50]위,10CM,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM)
[51]위,정승환,"친구, 그 오랜시간"
[52]위,창모 (CHANGMO),METEOR
[53]위,Anne-Marie,2002
[54]위,헤이즈 (Heize),처음처럼 (Feat. 개리)
[55]위,오마이걸 (OH MY GIRL),살짝 설렜어 (Nonstop)
[56]위,#안녕,너의 번호를 누르고 (Prod. 영화처럼)
[57]위,임창정,힘든 건 사랑이 아니다
[58]위,Justin Bieber,Off My Face
[59]위,조정석,아로하
[60]위,경서예지,사실 나는 (Feat.전건호)
[61]위,오반 (OVAN),어떻게 지내 (Prod. By VAN.C)
[62]위,마크툽 (MAKTUB),오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)
[63]위,NCT DREAM,맛 (Hot Sauce)
[64]위,성시경,I Love U
[65]위,CHEEZE (치즈),이렇게 좋아해 본 적이 없어요
[66]위,Maroon 5,Memories
[67]위,노을,늦은 밤 너의 집 앞 골목길에서
[68]위,BLACKPINK,How You Like That
[69]위,케이시 (Kassy),너의 발걸음에 빛을 비춰줄게 (Prod. 조영수)
[70]위,임영웅,이제 나만 믿어요
[71]위,아이유,아이와 나의 바다
[72]위,Tones And I,Dance Monkey
[73]위,아이유,봄 안녕 봄
[74]위,아이유,마음을 드려요
[75]위,10CM,서울의 잠 못 이루는 밤 (Feat. 이수현)
[76]위,NS 윤지,If You Love Me (Feat. 주헌 (몬스타엑스))
[77]위,규현 (KYUHYUN),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)
[78]위,아이유,Love poem
[79]위,하동균,기다릴게
[80]위,헤이즈 (Heize),감기 (Feat. 창모)
[81]위,허각,고백 (바른연애 길잡이 X 허각)
[82]위,폴킴,너를 만나
[83]위,Lauv,Paris In The Rain
[84]위,조이 (JOY),Je T′aime
[85]위,박진영,When We Disco (Duet with 선미)
[86]위,소정 (레이디스 코드),함께 했는데 이별은 나 혼자인 거야
[87]위,허각,우린 어쩌다 헤어진 걸까
[88]위,신예영,우리 왜 헤어져야 해
[89]위,가호 (Gaho),시작
[90]위,Dua Lipa,Don't Start Now
[91]위,아이유,Flu
[92]위,백지영,거짓말이라도 해서 널 보고싶어
[93]위,Conan Gray,Maniac
[94]위,블루 (BLOO),Downtown Baby
[95]위,폴킴,안녕
[96]위,벤,혼술하고 싶은 밤
[97]위,순순희,서면역에서
[98]위,릴보이 (lIlBOI),"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))"
[99]위,SG 워너비,죄와벌
[100]위,임창정,되풀이
